%time,field.xn,field.yn,field.xbd,field.ybd,field.xbdd,field.ybdd
1495100185601415031,65.7044448853,-495.750091553,14.4098291397,-21.4827003479,-0.088592030108,0.000736900488846
1495100185651340930,63.7462120056,-496.923828125,11.1005716324,-20.7670078278,0.0913645625114,0.000769259757362
1495100185701984524,65.7844009399,-495.656463623,15.9818353653,-20.6717033386,-0.0944485515356,0.000739122624509
1495100185751986833,63.7622642517,-497.091644287,9.77792835236,-22.356464386,0.0935920551419,0.000710310589056
1495100185801382570,65.9290161133,-495.697265625,14.8755578995,-22.2590866089,-0.100044682622,0.000767868827097
1495100185851760554,63.6347007751,-497.033721924,6.48000526428,-24.0439739227,0.105893872678,0.000756565015763
1495100185901430414,66.1172943115,-495.846191406,12.2818422318,-23.5674934387,-0.113858923316,0.000831943179946
1495100185951402624,63.4462509155,-496.89831543,4.06523323059,-24.3301086426,0.124587483704,0.000815841078293
1495100186001499010,66.3209838867,-495.917755127,11.2022781372,-23.5286579132,-0.145412296057,0.000867541064508
1495100186051762243,63.3612480164,-496.762359619,4.89698219299,-23.3325881958,0.119548253715,0.000839773507323
1495100186102413589,66.353515625,-495.812866211,11.9987316132,-23.2611198425,-0.14926277101,0.000830813252833
1495100186151470175,63.2563705444,-496.70904541,8.37429904938,-20.8577842712,0.0896937325597,0.000866778893396
1495100186201461447,66.4397506714,-495.500579834,15.8204879761,-20.7580871582,-0.193409219384,0.000775947701186
1495100186251354315,63.2132949829,-497.060791016,16.3420886993,-10.9388847351,0.151241824031,0.000819222012069
1495100186301210095,65.7660369873,-494.682189941,23.6163291931,-8.71818351746,-0.0841288492084,0.000460206007119
1495100186351307877,64.0520858765,-497.810394287,20.1367969513,-7.85692977905,0.0756739750504,0.000388808461139
1495100186401356213,65.7627105713,-494.305755615,23.6941280365,-7.71128225327,-0.0655914619565,0.000353954528691
1495100186451330444,64.2030258179,-497.844573975,20.7774219513,-7.1647400856,0.0763385668397,0.000340539962053
1495100186501439541,65.6798400879,-494.218017578,23.9733867645,-7.59717178345,-0.0514386482537,0.000295035570161
1495100186551287846,64.210105896,-497.972930908,19.7490634918,-10.5764007568,0.0707315281034,0.000317413592711
1495100186601765981,66.2067718506,-494.145751953,23.5085296631,-10.4247684479,-0.077927544713,0.000417558476329
1495100186651781076,64.0865402222,-497.916168213,16.6344547272,-14.7539796829,0.100041009486,0.000403863785323
1495100186701676247,66.6437911987,-494.350524902,21.866859436,-14.5644044876,-0.102716051042,0.000552289420739
1495100186751746996,63.6388282776,-497.738586426,12.4701871872,-18.3648014069,0.119137391448,0.000551323639229
